,support,itemsets
0,0.2773555235224741,frozenset({'javascript'})
1,0.12866924387367318,frozenset({'python'})
2,0.11653125409513825,frozenset({'jquery'})
3,0.11215764644214389,frozenset({'css'})
4,0.10406565325645394,frozenset({'sql'})
5,0.06794653387498362,frozenset({'c'})
6,0.06453937884942995,frozenset({'array'})
7,0.0480114008648932,frozenset({'python-3.x'})
8,0.04219630454724151,frozenset({'sql-server'})
9,0.022621543703315424,frozenset({'aplicação-web'})
10,0.020688638448434018,frozenset({'git'})
11,0.22464290394443717,frozenset({'php'})
12,0.18018608308216486,frozenset({'html'})
13,0.15741711440178222,frozenset({'java'})
14,0.13222382387629406,frozenset({'mysql'})
15,0.06052614336259992,frozenset({'json'})
16,0.042442012842353556,frozenset({'string'})
17,0.03077905910103525,frozenset({'api'})
18,0.03074629799502031,frozenset({'funções'})
19,0.025979557069846677,frozenset({'postgresql'})
20,0.024275979557069848,frozenset({'regex'})
21,0.014595072729655352,frozenset({'pandas'})
22,0.012891495216878521,frozenset({'jsf'})
23,0.011089634386056873,frozenset({'http'})
24,0.010811164984929891,frozenset({'desempenho'})
25,0.06642314244528895,frozenset({'banco-de-dados'})
26,0.011957803695452759,frozenset({'mongodb'})
27,0.055497313589306776,frozenset({'ajax'})
28,0.08211571222644476,frozenset({'android'})
29,0.06470318437950465,frozenset({'html5'})
30,0.032679203249901714,frozenset({'css3'})
31,0.03167998951644607,frozenset({'angularjs'})
32,0.028878914952168787,frozenset({'orientação-a-objetos'})
33,0.028649587210064213,frozenset({'angular'})
34,0.026012318175861616,frozenset({'query'})
35,0.021524046651814965,frozenset({'linux'})
36,0.019591141396933562,frozenset({'select'})
37,0.015954658629275323,frozenset({'pdo'})
38,0.015594286463110995,frozenset({'hibernate'})
39,0.014070895033416329,frozenset({'ionic'})
40,0.013759664526274407,frozenset({'mobile'})
41,0.013120822958983095,frozenset({'apache'})
42,0.01261302581575154,frozenset({'rest'})
43,0.011744856506355655,frozenset({'jpa'})
44,0.011712095400340716,frozenset({'ios'})
45,0.010319748394705805,frozenset({'java-ee'})
46,0.015971039182282792,frozenset({'windows'})
47,0.11582689031581707,frozenset({'c#'})
48,0.04729065653256454,frozenset({'node.js'})
49,0.033383567029222905,frozenset({'laravel'})
50,0.02701153190931726,frozenset({'asp.net'})
51,0.02658563753112305,frozenset({'twitter-bootstrap'})
52,0.01929629144279911,frozenset({'web-service'})
53,0.01927991088979164,frozenset({'oracle'})
54,0.017068536233783252,frozenset({'formulário'})
55,0.01674092517363386,frozenset({'classes'})
56,0.016396933560477,frozenset({'mvc'})
57,0.016134844712357488,frozenset({'visual-studio'})
58,0.014611453282662822,frozenset({'codeigniter'})
59,0.01331738959507273,frozenset({'input'})
60,0.013006159087930808,frozenset({'for'})
61,0.012416459179661905,frozenset({'htaccess'})
62,0.010368890053728213,frozenset({'google-maps'})
63,0.031073909055169702,frozenset({'react'})
64,0.02167147162888219,frozenset({'typescript'})
65,0.015446861486043769,frozenset({'django'})
66,0.014169178351461146,frozenset({'react-native'})
67,0.03631568601755995,frozenset({'.net'})
